synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n02099849,209,0.9233333333333333,0.33,0.6452938031218586,0.5933333333333333,0.7181136120042872,1.156595191682911,1.0105310965397827,18
n03743016,649,0.9117647058823529,0.30629411764705883,0.6646761067558804,0.6054705882352941,0.738770907724112,0.9187717575649379,0.996003599663257,17
n01695060,48,0.951764705882353,0.35005882352941176,0.6333868029172817,0.6017058823529411,0.6798547871031257,0.9172345767575324,1.0171682568725235,17
n03938244,721,0.9070588235294118,0.18505882352941178,0.7971626047704763,0.7220000000000001,0.817393356540209,1.8186397984886649,1.0414713306887846,17
n01692333,45,0.871764705882353,0.3234705882352941,0.6302895469316724,0.5482941176470588,0.7776200135226504,1.2184313725490197,1.008728024371371,17
n01877812,104,0.9105882352941177,0.3422941176470588,0.6274190458700526,0.5682941176470588,0.6711284513805522,0.9798174442190669,0.9969197748391525,17
n01498041,6,0.90625,0.21637499999999998,0.7610766205993333,0.689875,0.815426638917794,1.1873924268502583,1.0187919958650227,16
n01697457,49,0.885,0.2245625,0.74728661487269,0.6604375,0.798596807415036,1.4022027600849256,1.029761440711,16
n02097130,197,0.8875,0.3050625,0.6566704996465255,0.5824374999999999,0.7201424870466322,1.0308628318584072,1.0010097104064621,16
n03100240,511,0.93625,0.309625,0.6724001760693099,0.626625,0.7360074626865672,1.430650684931507,1.049271600803751,16
n04179913,786,0.925,0.3535625,0.6199035114630268,0.5714374999999999,0.6650591563786008,1.2642422566371683,1.0199687639446675,16
n03457902,580,0.9199999999999999,0.313,0.6601956374483214,0.607,0.7171189979123174,0.9514106583072099,1.0157295850066934,16
n02168699,303,0.87625,0.3275625,0.6277087540254461,0.5486875,0.716884328358209,1.4515542328042332,1.004370309353835,16
n01677366,39,0.8533333333333334,0.3252,0.6180259684774284,0.5281333333333333,0.6949536560247168,0.8936266215454033,1.0131082550035169,15
n01883070,106,0.8586666666666667,0.30393333333333333,0.6466132623127802,0.5547333333333333,0.7649084249084249,1.180283687943262,1.0081478116007878,15
n02111277,256,0.916,0.37806666666666666,0.5891742845664548,0.5379333333333333,0.6819444444444444,1.1901179941002946,1.009161116843323,15
n02231487,313,0.8293333333333333,0.3126666666666667,0.6233174378089296,0.5166666666666667,0.8231536926147704,1.1355311355311355,1.0172606156067467,15
n01986214,125,0.9626666666666667,0.37706666666666666,0.6110351663233499,0.5855999999999999,0.6591887125220458,1.001025641025641,1.0439433104554774,15
n02108915,245,0.9146666666666666,0.3443333333333333,0.6266699281592464,0.5703333333333334,0.6901754385964912,1.036969696969697,1.045236568007575,15
n03916031,711,0.868,0.3362666666666667,0.6133698687078872,0.5317333333333333,0.6670686767169179,1.1194385964912281,1.0100357742109094,15
