synset,y_true,acc_clean,acc_corrupt,rel_drop,abs_drop,mCE,RmCE,nCE,fragile_count
n04597913,910,0.8176470588235294,0.34094117647058825,0.5886687758907387,0.47670588235294115,0.6829625114294422,1.9457382953181275,1.063719474178157,17
n02910353,464,0.6035294117647059,0.32588235294117646,0.4697260924520861,0.27764705882352947,0.6985675099055166,3.266435986159171,1.0715826276477396,17
n02791270,424,0.7223529411764705,0.22911764705882354,0.6885159198351926,0.49323529411764705,0.8114551083591331,1.826797385620915,1.0456546409108478,17
n01755581,67,0.8494117647058823,0.23041176470588237,0.7332482962335363,0.619,0.8033280117892668,1.729050279329609,1.0411235388108653,17
n02769748,414,0.49411764705882355,0.16347058823529412,0.6694461250729344,0.33064705882352946,0.8732039788775635,2.09270290394639,1.0660875667371579,17
n03938244,721,0.9070588235294118,0.36088235294117643,0.6041916395458029,0.5461764705882353,0.6622980798537031,1.4963738920225627,1.0242409199966904,17
n04141975,778,0.7976470588235295,0.3827647058823529,0.5312058393467418,0.4148823529411765,0.6723696014353453,1.7432031636183878,1.0482121095027195,17
n03793489,673,0.4752941176470588,0.23117647058823532,0.5220566965869162,0.24411764705882355,0.7958835708196322,1.9374416433239963,1.056329065594217,17
n03832673,681,0.4388235294117647,0.13864705882352943,0.6866715459419559,0.3001764705882353,0.9222194231011462,3.193366708385483,1.1070494950700176,17
n01740131,60,0.45375,0.1591875,0.656597411912236,0.2945625,0.8776748434237996,1.8643196202531656,1.0732829294953545,16
n01498041,6,0.90625,0.261875,0.7109702639519211,0.644375,0.8745556872037915,1.388739224137931,1.0232235013894402,16
n04376876,845,0.7262500000000001,0.3460625,0.5336312344825672,0.3801875,0.6818952033368092,1.9104899497487442,1.066594192733904,16
n04127249,772,0.75375,0.421375,0.45267485908235783,0.332375,0.6330689277899343,2.4804104477611935,1.082831079980453,16
n04317175,823,0.775,0.4139375,0.47665562358015584,0.36106249999999995,0.6426123903508771,2.099200581395348,1.1011360170783775,16
n01756291,68,0.48125,0.1821875,0.6239510621514492,0.2990625,0.9865048250904704,2.743692660550459,1.1663904056162249,16
n03372029,558,0.565,0.3269375,0.42487545380933733,0.23806249999999998,0.733983097055616,4.176535087719294,1.0781816123188404,16
n04357314,838,0.54125,0.3093125,0.44164806558659686,0.2319375,0.7149974120082816,2.1880896226415096,1.0663793103448274,16
n02105855,230,0.8586666666666666,0.40386666666666665,0.5313937563105485,0.4548,0.6609016999260902,0.9844155844155843,0.9825016202203497,15
n02730930,411,0.824,0.3897333333333333,0.5292466717003615,0.43426666666666663,0.6926976920166478,1.545432977461447,1.061906508538126,15
n03216828,536,0.644,0.17086666666666667,0.7343482058542542,0.47313333333333335,0.8973304473304472,1.7921717171717164,1.092560520340222,15
n03481172,587,0.6973333333333334,0.323,0.548009404600095,0.37433333333333335,0.7081589958158996,1.9098639455782318,1.0839245210173254,15
n03249569,541,0.5773333333333334,0.3266666666666667,0.4457137383648731,0.2506666666666667,0.7028531663187196,1.816425120772948,1.0837296440409283,15
n03291819,549,0.6306666666666667,0.34273333333333333,0.46020084251917415,0.2879333333333333,0.7520213577421816,1.8696969696969694,1.1136466189647396,15
n03908714,710,0.716,0.36679999999999996,0.4993495680958454,0.34919999999999995,0.6582120582120582,1.9186813186813192,1.0969059211559609,15
n04200800,788,0.9093333333333333,0.4132,0.5478239146119581,0.49613333333333337,0.6336933045356371,1.2220032840722497,1.0367429387385505,15
n04507155,879,0.8346666666666667,0.386,0.5400133763603344,0.4486666666666667,0.6531914893617022,1.7256410256410255,1.075939248601119,15
n07614500,928,0.724,0.16426666666666667,0.7749147626589452,0.5597333333333334,0.8862495581477554,1.8473047304730477,1.079628379464429,15
